n, time
84600,6.469
84700,7.524
84800,7.518
84900,7.275
85000,7.111
85100,7.624
85200,7.576
85300,7.7
85400,7.686
85500,7.615
85600,7.549
85700,7.601
85800,7.639
85900,7.67
86000,7.562
86100,7.618
86200,8.421
86300,7.348
86400,8.434
86500,6.804
86600,6.633
86700,6.538
86800,6.578
86900,7.337
87000,8.579
87100,7.768
87200,6.6
87300,6.51
87400,6.548
87500,6.644
87600,6.612
87700,7.627
87800,6.925
87900,7.565
88000,6.815
88100,7.064
88200,8.501
88300,8.231
88400,7.436
88500,8.054
88600,7.953
88700,7.832
88800,7.594
88900,7.298
89000,7.001
89100,6.854
89200,7.514
89300,8.235
89400,7.83
89500,8.339
89600,9.939
89700,8.247
89800,7.86
89900,9.176
90000,8.306
90100,8.324
90200,8.67
90300,8.156
90400,7.719
90500,7.701
90600,9.255
90700,8.655
90800,8.537
90900,8.387
91000,8.621
91100,8.159
91200,8.208
91300,8.049
91400,7.91
91500,7.839
91600,7.776
91700,7.676
91800,7.857
91900,7.782
92000,7.989
92100,7.393
92200,7.282
92300,8.113
92400,8.554
92500,8.018
92600,7.892
92700,7.869
92800,7.966
92900,8.151
93000,8.156
93100,8.56
93200,9.414
93300,9.369
93400,8.775
93500,8.014
93600,7.435
93700,7.386
93800,7.492
93900,8.267
94000,8.077
94100,8.007
94200,9.63
94300,10.092
94400,9.187
94500,8.461
94600,8.765
94700,8.213
94800,8.273
94900,8.079
95000,7.92
95100,7.913
95200,8.177
95300,8.213
95400,7.833
95500,8.118
95600,8.228
95700,9.255
95800,8.885
95900,8.478
96000,8.837
96100,9.45
96200,8.757
96300,8.47
96400,8.881
96500,8.579
96600,8.824
96700,8.534
96800,9.032
96900,8.537
97000,8.672
97100,8.758
97200,8.823
97300,8.793
97400,8.601
97500,8.938
97600,8.89
97700,9.416
97800,9.773
97900,9.532
98000,10.253
98100,12.534
98200,9.412
98300,9.749
98400,9.719
98500,9.591
98600,9.899
98700,9.564
98800,9.75
98900,10.016
99000,9.865
99100,9.91
99200,9.532
99300,9.658
99400,9.425
99500,8.886
99600,9.372
99700,9.527
99800,9.541
99900,9.429
