n, time
77400,6.539
77500,6.079
77600,6.204
77700,6.293
77800,6.558
77900,6.382
78000,6.593
78100,6.9
78200,6.543
78300,5.663
78400,5.625
78500,5.662
78600,6.697
78700,6.795
78800,6.817
78900,6.355
79000,6.428
79100,6.684
79200,6.599
79300,7.496
79400,6.62
79500,6.64
79600,6.664
79700,6.543
79800,6.697
79900,6.854
80000,6.652
80100,7
80200,6.841
80300,6.89
80400,6.706
80500,7.134
80600,6.634
80700,6.476
80800,6.478
80900,6.453
81000,6.683
81100,6.956
81200,7.174
81300,6.652
81400,7.735
81500,8.265
81600,6.954
81700,6.85
81800,6.503
81900,6.852
82000,6.515
82100,6.07
82200,7.067
82300,6.452
82400,6.221
82500,6.201
82600,6.205
82700,6.246
82800,6.234
82900,6.259
83000,6.39
83100,6.454
83200,6.219
83300,6.229
83400,6.412
83500,6.376
83600,6.397
83700,6.467
83800,6.503
83900,6.504
84000,6.467
84100,6.473
84200,6.515
84300,6.575
84400,6.544
84500,6.623
84600,6.596
84700,6.572
84800,6.625
84900,6.637
85000,6.647
85100,6.644
85200,6.71
85300,6.711
85400,6.729
85500,6.807
85600,6.795
85700,6.803
85800,6.795
85900,6.76
86000,6.836
86100,6.83
86200,6.867
86300,6.918
86400,6.836
86500,6.919
86600,6.896
86700,6.878
86800,6.962
86900,6.976
87000,6.999
87100,6.97
87200,7.051
87300,7.007
87400,7.022
87500,7.008
87600,7.043
87700,7.109
87800,7.136
87900,7.107
88000,7.082
88100,7.152
88200,7.203
88300,7.144
88400,7.186
88500,7.206
88600,7.271
88700,7.295
88800,7.294
88900,7.343
89000,7.292
89100,7.294
89200,7.283
89300,7.324
89400,7.329
89500,7.373
89600,7.404
89700,7.369
89800,7.425
89900,7.421
90000,7.454
90100,7.482
90200,7.509
90300,7.513
90400,7.507
90500,7.542
90600,7.534
90700,7.541
90800,7.524
90900,7.537
91000,7.561
91100,7.601
91200,7.609
91300,7.616
91400,7.668
91500,7.688
91600,7.708
91700,7.732
91800,7.73
91900,7.807
92000,7.797
92100,7.779
92200,7.882
92300,7.798
92400,7.809
92500,7.831
92600,7.868
92700,7.847
92800,7.906
92900,8.029
93000,7.987
93100,7.985
93200,7.968
93300,7.983
93400,7.982
93500,8.001
93600,7.951
93700,8.06
93800,8.079
93900,8.03
94000,8.197
94100,8.229
94200,8.203
94300,8.123
94400,8.033
94500,8.029
94600,8.086
94700,8.061
